X,Y,AREA,PERIMETER,GEMSTR_,GEMSTR_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
638157.91,5271342.599,0,0,1291,2604,,OB,AS,MGS,19940601,638162,5271164,15,H195.00,H195.00.1,19890818,EAH,RCL,NB:CNH/FM:314C.NCC,IL,P,195,22,,0,103,200000,165
638508.8144,5272117.495,0,0,1292,2603,,OB,AS,MGS,19940601,638513,5271894,15,G233.00,G233.00.1,19890817,JDM,NAN,NB:CNG/FM:314C.NCC,IL,P,309,6,,0,103,200000,51
638566.0871,5274990.654,0,0,1310,2620,,OB,AS,MGS,19940601,638506,5274777,15,H203.00,H203.00.1,19890822,NAN,RCL,NB:CNH/FM:314C.NNC,IL,P,139,28,,0,103,200000,221
638424.9508,5274963.982,0,0,1311,2621,,OB,AS,MGS,19940601,638412,5274725,15,H202.00,H202.00.1,19890822,RCL,NAN,NB:CNH/FM:314C.NNC,IL,P,163,27,,0,103,12000,197
638324.8508,5274913.646,0,0,1312,2619,,OB,AS,MGS,19940601,638307,5274698,15,H218.00,H218.00.1,19890824,NAN,RCL,NB:CNH/FM:314C.NNC,IL,P,119,24,,0,103,12000,241
638992.5227,5273419.718,0,0,1318,2633,,OB,AS,MGS,19940601,638934,5273194,15,G238.00,G238.00.1,19890823,JDM,,NB:CNG/FM:314C.NCE,IL,P,0,0,,0,102,12000,360
644282.5402,5280365.077,0,0,1372,2552,,OB,AS,MGS,19940601,644188,5280172,15,K059.02,K059.02.1,19910914,TJB,RLP,NB:CNK/FM:314A.SC2,IL,P,110,20,,0,103,200000,250
644328.0734,5280447.236,0,0,1373,2553,,OB,AS,MGS,19940601,644303,5280263,15,K059.01,K059.01.1,19910914,TJB,,NB:CNK/FM:314A.SC2,IL,P,135,15,,0,103,12000,225
644440.1781,5280609.078,0,0,1374,2554,,OB,AS,MGS,19940601,644418,5280468,15,K058.02,K058.02.1,19910904,TJB,,NB:CNK/FM:314A.SC2,IL,P,60,70,,1,103,12000,300
644403.1999,5280677.249,0,0,1375,2555,,OB,AS,MGS,19940601,644366,5280518,15,K058.01,K058.01.1,19910904,TJB,,NB:CNK/FM:314A.SC2,IL,P,190,15,,0,103,12000,170
644776.1503,5280855.118,0,0,1377,2559,,OB,AS,MGS,19940601,644757,5280635,15,K056.01,K056.01.1,19910904,TJB,,NB:CNK/FM:314A.SC2,IL,P,75,15,,0,103,12000,285
645131.5715,5280936.739,0,0,1379,2561,,OB,AS,MGS,19940601,645101,5280689,15,K054.03,K054.03.1,19910830,TJB,,NB:CNK/FM:314A.SC3,IL,P,225,10,,0,103,12000,135
645241.2034,5280892.042,0,0,1380,2562,,OB,AS,MGS,19940601,645222,5280672,15,K054.02,K054.02.1,19910830,TJB,,NB:CNK/FM:314A.SC3,IL,P,220,30,,0,103,12000,140
